name VARCHAR, call_deep INT, lcba LIST
__main__,1,[]
tests.conftest.<module>,25,[]
tests.conftest.pytest_ignore_collect,35,[]
tests.test_cacheutils.<module>,35,[]
boltons.cacheutils.<module>,41,[]
boltons.typeutils.<module>,47,[]
boltons.typeutils.classproperty,48,[]
boltons.typeutils.make_sentinel,42,[]
boltons.typeutils.Sentinel,43,[]
boltons.typeutils.Sentinel.__init__,43,[]
boltons.cacheutils.LRI,42,[]
boltons.cacheutils.LRU,42,[]
boltons.cacheutils._HashedKey,42,[]
boltons.cacheutils.CachedFunction,42,[]
boltons.cacheutils.CachedMethod,42,[]
boltons.cacheutils.cachedproperty,42,[]
boltons.cacheutils.ThresholdCounter,42,[]
boltons.cacheutils.MinIDMap,42,[]
tests.test_cacheutils.CountingCallable,36,[]
tests.test_cacheutils.test_lru_add,30,['boltons.cacheutils.LRU._set_key_and_evict_last_in_ll']
boltons.cacheutils.LRU.__init__,31,[]
boltons.cacheutils.LRU._init_ll,32,[]
boltons.cacheutils.LRU.__setitem__,31,[]
boltons.cacheutils.LRU._get_link_and_move_to_front_of_ll,32,[]
boltons.cacheutils.LRU._set_key_and_add_to_front_of_ll,32,[]
boltons.cacheutils.LRU._set_key_and_evict_last_in_ll,32,[]
tests.test_cacheutils.test_lri,30,['boltons.cacheutils.LRI._set_key_and_add_to_front_of_ll'; 'boltons.cacheutils.LRI._set_key_and_evict_last_in_ll'; 'tests.test_cacheutils.<listcomp>']
boltons.cacheutils.LRI.__init__,31,[]
boltons.cacheutils.LRI._init_ll,32,[]
boltons.cacheutils.LRI.__getitem__,31,[]
tests.test_cacheutils.<lambda>,32,[]
boltons.cacheutils.LRI.__setitem__,32,[]
boltons.cacheutils.LRI._get_link_and_move_to_front_of_ll,33,[]
boltons.cacheutils.LRI._set_key_and_add_to_front_of_ll,33,[]
boltons.cacheutils.LRI._set_key_and_evict_last_in_ll,33,[]
tests.test_cacheutils.<listcomp>,31,[]
tests.test_cacheutils.test_lri_cache_eviction,30,[]
tests.test_cacheutils.test_cache_sizes_on_repeat_insertions,30,['boltons.cacheutils.LRU._get_flattened_ll'; 'boltons.cacheutils.LRI._get_flattened_ll']
boltons.cacheutils.LRU._get_flattened_ll,31,[]
boltons.cacheutils.LRI._get_flattened_ll,31,[]
tests.test_cacheutils.test_lru_basic,30,['boltons.cacheutils.LRU.__repr__'; 'boltons.cacheutils.LRU.__getitem__'; 'boltons.cacheutils.LRU._remove_from_ll'; 'boltons.cacheutils.LRU.pop'; 'boltons.cacheutils.LRU.popitem'; 'boltons.cacheutils.LRU.clear'; 'boltons.cacheutils.LRU.__eq__'; 'boltons.cacheutils.LRU.setdefault'; 'boltons.cacheutils.LRU.__ne__']
boltons.cacheutils.LRU.__repr__,31,[]
boltons.cacheutils.LRU.__getitem__,31,[]
boltons.cacheutils.LRU.get,31,[]
boltons.cacheutils.LRU.__delitem__,31,[]
boltons.cacheutils.LRU._remove_from_ll,32,[]
boltons.cacheutils.LRU.pop,31,[]
boltons.cacheutils.LRU.popitem,31,[]
boltons.cacheutils.LRU.clear,31,[]
boltons.cacheutils.LRU.copy,31,[]
boltons.cacheutils.LRU.update,33,[]
boltons.cacheutils.LRU.__eq__,31,[]
boltons.cacheutils.LRU.setdefault,31,[]
boltons.cacheutils.LRU.__ne__,31,[]
tests.test_cacheutils.test_lru_with_dupes,30,['tests.test_cacheutils.test_lru_with_dupes'; 'tests.test_cacheutils._test_linkage']
tests.test_cacheutils._test_linkage,31,[]
tests.test_cacheutils.test_lru_with_dupes_2,30,['tests.test_cacheutils.test_lru_with_dupes_2']
tests.test_cacheutils.test_cached_dec,30,['boltons.cacheutils.CachedFunction.__init__'; 'tests.test_cacheutils.CountingCallable.__call__']
tests.test_cacheutils.CountingCallable.__init__,31,[]
boltons.cacheutils.cached,31,[]
boltons.cacheutils.cached_func_decorator,31,[]
boltons.cacheutils.CachedFunction.__init__,32,[]
boltons.cacheutils.CachedFunction.__call__,31,[]
boltons.cacheutils._get_cache,32,[]
boltons.cacheutils.make_cache_key,32,[]
boltons.cacheutils._HashedKey.__init__,33,[]
boltons.cacheutils._HashedKey.__hash__,34,[]
tests.test_cacheutils.CountingCallable.__call__,32,[]
tests.test_cacheutils.test_unscoped_cached_dec,30,['tests.test_cacheutils.test_unscoped_cached_dec']
tests.test_cacheutils.test_callable_cached_dec,30,['tests.test_cacheutils.test_callable_cached_dec']
boltons.cacheutils.CachedFunction.__repr__,31,[]
tests.test_cacheutils.test_cachedmethod,30,['tests.test_cacheutils.Car.__init__'; 'tests.test_cacheutils.Car.hand'; 'tests.test_cacheutils.Car.hook'; 'tests.test_cacheutils.Car.door']
tests.test_cacheutils.Car,31,[]
boltons.cacheutils.cachedmethod,32,[]
boltons.cacheutils.cached_method_decorator,32,[]
boltons.cacheutils.CachedMethod.__init__,33,[]
tests.test_cacheutils.Car.__init__,31,[]
boltons.cacheutils.CachedMethod.__get__,31,[]
boltons.cacheutils.CachedMethod.__call__,31,[]
tests.test_cacheutils.Car.hand,32,[]
tests.test_cacheutils.Car.hook,32,[]
tests.test_cacheutils.Car.door,32,[]
boltons.cacheutils.CachedMethod.__repr__,31,[]
tests.test_cacheutils.test_cachedmethod_maintains_func_abstraction,30,[]
tests.test_cacheutils.test_cachedproperty,30,['tests.test_cacheutils.Proper.__init__'; 'tests.test_cacheutils.Proper.useful_attr']
tests.test_cacheutils.Proper,31,[]
boltons.cacheutils.cachedproperty.__init__,32,[]
tests.test_cacheutils.Proper.__init__,31,[]
boltons.cacheutils.cachedproperty.__get__,31,[]
tests.test_cacheutils.Proper.useful_attr,32,[]
boltons.cacheutils.cachedproperty.__repr__,31,[]
tests.test_cacheutils.test_cachedproperty_maintains_func_abstraction,30,[]
tests.test_cacheutils.AbstractExpensiveCalculator,31,[]
tests.test_cacheutils.test_min_id_map,30,['tests.test_cacheutils.Foo.__init__'; 'boltons.cacheutils.MinIDMap.drop'; 'boltons.cacheutils.MinIDMap._clean'; 'boltons.cacheutils.MinIDMap.<genexpr>']
boltons.cacheutils.MinIDMap.__init__,31,[]
tests.test_cacheutils.Foo,31,[]
tests.test_cacheutils.Foo.__init__,31,[]
boltons.cacheutils.MinIDMap.get,31,[]
boltons.cacheutils.MinIDMap.drop,31,[]
boltons.cacheutils.MinIDMap._clean,31,[]
boltons.cacheutils.MinIDMap.__iter__,31,[]
boltons.cacheutils.MinIDMap.__len__,31,[]
boltons.cacheutils.MinIDMap.iteritems,31,[]
boltons.cacheutils.MinIDMap.<genexpr>,31,[]
tests.test_cacheutils.<genexpr>,31,[]
tests.test_cacheutils.test_threshold_counter,30,['boltons.cacheutils.ThresholdCounter.add'; 'boltons.cacheutils.ThresholdCounter.<listcomp>'; 'boltons.cacheutils.ThresholdCounter.__getitem__'; 'boltons.cacheutils.ThresholdCounter.__contains__'; 'boltons.cacheutils.ThresholdCounter.elements'; 'boltons.cacheutils.ThresholdCounter.threshold'; 'boltons.cacheutils.<listcomp>'; 'boltons.cacheutils.ThresholdCounter.get_uncommon_count'; 'boltons.cacheutils.ThresholdCounter.get_commonality'; 'boltons.cacheutils.<lambda>'; 'boltons.cacheutils.ThresholdCounter.__len__'; 'boltons.cacheutils.ThresholdCounter.iterkeys'; 'boltons.cacheutils.ThresholdCounter.itervalues']
boltons.cacheutils.ThresholdCounter.__init__,31,[]
boltons.cacheutils.ThresholdCounter.add,31,[]
boltons.cacheutils.ThresholdCounter.items,31,[]
boltons.cacheutils.ThresholdCounter.iteritems,32,[]
boltons.cacheutils.ThresholdCounter.update,31,[]
boltons.cacheutils.ThresholdCounter.<listcomp>,33,[]
boltons.cacheutils.ThresholdCounter.get,31,[]
boltons.cacheutils.ThresholdCounter.__getitem__,32,[]
boltons.cacheutils.ThresholdCounter.__contains__,31,[]
boltons.cacheutils.ThresholdCounter.elements,31,[]
boltons.cacheutils.ThresholdCounter.threshold,31,[]
boltons.cacheutils.ThresholdCounter.get_common_count,31,[]
boltons.cacheutils.<listcomp>,32,[]
boltons.cacheutils.ThresholdCounter.get_uncommon_count,31,[]
