test,production
test_face_recognition.test_face_landmarks_small_model,api.face_landmarks
test_face_recognition.test_face_distance_empty_lists,api.face_distance
test_face_recognition.test_load_image_file,api.batch_face_locations
test_face_recognition.test_compare_faces,api.compare_faces
test_face_recognition.test_command_line_interface_tolerance,face_recognition_cli.print_result
test_face_recognition.test_command_line_interface_tolerance,face_recognition_cli.main
test_face_recognition.test_raw_face_landmarks,api._raw_face_landmarks
test_face_recognition.test_raw_face_landmarks,api.face_landmarks
test_face_recognition.test_fd_command_line_interface_hog_model,face_detection_cli.print_result
test_face_recognition.test_raw_face_locations,api._raw_face_locations
test_face_recognition.test_face_landmarks,api.face_landmarks
test_face_recognition.test_load_image_file,api.load_image_file
test_face_recognition.test_load_image_file_32bit,api.batch_face_locations
test_face_recognition.test_face_distance,api.face_distance
test_face_recognition.test_raw_face_locations,api._raw_face_locations_batched
test_face_recognition.test_cnn_raw_face_locations,api.face_locations
test_face_recognition.test_cnn_face_locations,api.face_locations
test_face_recognition.test_compare_faces_empty_lists,api.compare_faces
test_face_recognition.test_load_image_file_32bit,api.load_image_file
test_face_recognition.test_face_locations,api.face_locations
test_face_recognition.test_face_encodings_large_model,api.face_encodings
