test,production
test_requests.test_time_elapsed_blank,api.get
test_requests.test_cookie_sent_on_redirect,models.text
test_requests.test_unicode_method_name,models._encode_files
test_utils.test_bypass_no_proxy_keyword,utils.is_valid_cidr
test_utils.test_unquote_unreserved,utils.unquote_unreserved
test_requests.test_HTTP_200_OK_GET_ALTERNATIVE,adapters.proxy_manager_for
test_requests.test_url_mutation,compat.u
test_lowlevel.test_chunked_encoding_error,compat.u
test_requests.test_transport_adapter_ordering,adapters.close
test_requests.test_total_timeout_connect,compat.u
test_requests.test_redirecting_to_bad_url,sessions.rebuild_auth
test_requests.test_data_argument_accepts_tuples,compat.u
test_requests.test_stream_timeout,compat.u
test_requests.test_read_timeout,compat.u
test_requests.test_history_is_always_a_list,cookies.host
test_requests.test_HTTP_200_OK_GET_WITH_PARAMS,models.text
test_utils.test_not_bypass_no_proxy_keyword,models.ok
test_utils.test_dotted_netmask,utils.dotted_netmask
test_requests.test_cookie_policy_copy,models.copy
test_utils.test_urldefragauth,utils.urldefragauth
test_requests.test_header_no_leading_space,api.head
test_requests.test_POSTBIN_SEEKED_OBJECT_WITH_NO_ITER,api.post
test_requests.test_lower_items,structures.lower_items
test_requests.test_links,models.links
test_requests.test_preserve_last_key_case,cookies.keys
test_requests.test_HTTP_200_OK_PUT,api.put
test_requests.test_rewind_body_failed_tell,utils.rewind_body
test_requests.test_invalid_ssl_certificate_files,api.get
test_testserver.test_basic,models.text
test_requests.test_set_basicauth,models.prepare
test_utils.test_should_bypass_proxies_no_proxy,utils.is_ipv4_address
test_requests.test_headers_on_session_with_None_are_not_sent,cookies.set
test_requests.test_equality,compat.u
test_requests.test_iter_content_wraps_exceptions,models.next
test_requests.test_conflicting_post_params,sessions.post
test_requests.test_invalid_url,compat.u
test_requests.test_HTTP_302_TOO_MANY_REDIRECTS,api.get
test_hooks.test_hooks,models.ok
test_requests.test_long_authinfo_in_url,compat.u
test_requests.test_basic_building,compat.u
test_requests.test_response_iter_lines_reentrant,models.iter_lines
test_requests.test_DIGESTAUTH_WRONG_HTTP_401_GET,auth.sha256_utf8
test_requests.test_encoded_methods,api.request
test_utils.test_prepend_scheme_if_needed,utils.prepend_scheme_if_needed
test_packages.test_can_access_chardet_attribute,compat.u
test_requests.test_proxy_error_on_bad_url,compat.u
test_requests.test_no_body_content_length,models.content
test_requests.test_rewind_body_no_seek,utils.rewind_body
test_requests.test_chunked_upload_does_not_set_content_length_header,sessions.delete
test_requests.test_whitespaces_are_removed_from_url,compat.u
test_requests.test_invalid_timeout,api.get
test_structures.test_lower_items,structures.lower_items
test_requests.test_none_timeout,compat.u
test_requests.test_override_content_length,models.content
test_requests.test_expires_invalid_int,utils.stream_decode_response_unicode
test_requests.test_preserve_key_case,cookies.keys
test_lowlevel.test_chunked_upload,compat.u
test_requests.test_POSTBIN_GET_POST_FILES_WITH_DATA,api.post
test_help.test_idna_with_version_attribute,compat.u
